productId,productName
1,Commodity Swaps 1
2,Commodity Swaps
3,FX Forward
4,Government Bonds Domestic
5,Convertible Bonds Domestic
6,Corporate Bonds International
7,Interest Rate Futures
8,Overnight Index Swaps
9,Credit Default Swaps
10,Inflation-Linked Bonds
14,Government Bonds Domestic
15,Convertible Bonds Domestic
16,Corporate Bonds International
17,Interest Rate Futures
18,Overnight Index Swaps
19,Credit Default Swaps
20,Inflation-Linked Bonds
21,Equity Futures
22,Commodity Swaps
26,Corporate Bonds International
27,Interest Rate Futures
28,Overnight Index Swaps
29,Credit Default Swaps
30,Inflation-Linked Bonds
31,Equity Futures
32,Commodity Swaps
33,FX Forward
34,Government Bonds Domestic
35,Convertible Bonds Domestic
36,Corporate Bonds International
37,Interest Rate Futures
38,Overnight Index Swaps
39,Credit Default Swaps
40,Inflation-Linked Bonds
41,Equity Futures
42,Commodity Swaps
43,FX Forward
44,Government Bonds Domestic
45,Convertible Bonds Domestic
46,Corporate Bonds International
47,Interest Rate Futures
48,Overnight Index Swaps
49,Credit Default Swaps
50,Inflation-Linked Bonds
51,Equity Futures
52,Commodity Swaps
53,FX Forward
54,Government Bonds Domestic
55,Convertible Bonds Domestic
56,Corporate Bonds International
57,Interest Rate Futures
58,Overnight Index Swaps
59,Credit Default Swaps
60,Inflation-Linked Bonds
61,Equity Futures
62,Commodity Swaps
63,FX Forward
64,Government Bonds Domestic
65,Convertible Bonds Domestic
69,Credit Default Swaps
70,Inflation-Linked Bonds
71,Equity Futures
72,Commodity Swaps
73,FX Forward
74,Government Bonds Domestic
75,Convertible Bonds Domestic
76,Corporate Bonds International
77,Interest Rate Futures
78,Overnight Index Swaps
79,Credit Default Swaps
80,Inflation-Linked Bonds
81,Equity Futures
82,Commodity Swaps
83,FX Forward
84,Government Bonds Domestic
85,Convertible Bonds Domestic
86,Corporate Bonds International
87,Interest Rate Futures
88,Overnight Index Swaps
89,Credit Default Swaps
90,Inflation-Linked Bonds
91,Equity Futures
92,Commodity Swaps
93,FX Forward
94,Government Bonds Domestic
95,Convertible Bonds Domestic
96,Corporate Bonds International
97,Interest Rate Futures
98,Overnight Index Swaps
99,Credit Default Swaps
100,Inflation-Linked Bonds
101,Equity Futures
102,Commodity Swaps
103,FX Forward
104,Government Bonds Domestic
105,Convertible Bonds Domestic
106,Corporate Bonds International
107,Interest Rate Futures
